 144.75	   5.70	  52.35
 149.25	   6.60	  53.25
 152.25	   7.35	  55.80
 150.30	  16.35	  54.15
 154.80	  17.55	  52.95
 155.70	  12.60	  54.60
 153.30	   9.90	  51.75
 157.95	  13.35	  50.55
 162.15	  15.00	  52.20
 166.65	  18.75	  52.50
 173.10	  21.75	  52.35
 175.95	  22.95	  53.40
 179.10	  23.55	  51.00
 178.95	  24.45	  53.40
 181.65	  26.10	  53.25
 181.50	  26.25	  50.10
 166.05	  20.40	  44.25
 164.10	  18.30	  41.10
 160.35	  18.00	  42.30
 166.05	  21.15	  46.05
 162.60	  19.05	  41.85
 145.05	  11.85	  32.85
 138.60	  10.20	  26.85
 135.45	   7.80	  24.75
 137.70	  11.10	  23.25
 141.75	  13.05	  23.25
 146.40	  15.75	  22.05
 147.30	  18.15	  21.75
 140.10	  16.05	  14.70
 130.50	  12.00	   8.70
 127.20	   9.90	   6.60
 118.05	   5.40	   2.55
 109.20	   2.55	  -1.80
  97.80	  -1.35	  -6.60
  85.50	  -6.30	 -14.40
  75.00	 -10.20	 -19.05
  66.90	 -14.70	 -22.80
  59.55	 -18.00	 -26.85
  52.20	 -23.10	 -29.40
  47.55	 -23.25	 -30.60
  45.15	 -23.85	 -33.00
  42.30	 -25.35	 -33.00
  36.30	 -26.40	 -36.00
  32.70	 -28.20	 -38.25
  36.75	 -30.15	 -39.60
  33.90	 -30.60	 -41.70
  18.45	 -37.95	 -49.05
   4.65	 -45.15	 -50.70
  -1.05	 -46.35	 -54.00
  -4.95	 -51.30	 -53.85
  -7.35	 -51.00	 -56.55
 -12.30	 -56.85	 -56.40
  -4.35	 -57.75	 -55.05
  13.95	 -54.75	 -48.45
  13.65	 -49.35	 -45.75
   8.55	 -48.30	 -45.30
  23.55	 -40.35	 -39.60
  56.40	 -16.65	 -24.00
  78.90	  -8.55	 -15.60
  84.60	  -8.40	 -19.05
  90.45	  -1.35	 -19.50
  86.40	  -5.40	 -23.55
  84.75	  -2.70	 -20.40
  87.90	  -1.05	 -23.55
 105.30	  14.10	 -24.75
 101.70	  13.65	 -29.55
  96.90	   3.00	 -27.00
  99.90	  -3.00	 -26.25
 100.20	   7.80	 -21.45
 101.55	  12.00	 -24.15
  89.55	   9.00	 -25.50
  85.80	   2.25	 -24.45
  73.50	   1.05	  -6.90
  81.60	 -12.45	  -2.10
  93.60	  -2.70	  -8.25
  96.90	 -20.70	  -7.50
  90.30	  -0.45	 -28.80
  25.35	 -15.00	 -95.25
  24.75	 -18.45	 -99.45
  22.20	 -21.45	 -96.90
  18.45	 -25.80	-101.70
  27.90	 -22.80	-115.80
  24.60	 -28.20	-124.65
  22.95	 -31.80	-121.95
  21.75	 -32.55	-115.95
  33.60	 -19.20	-114.90
  38.40	  -8.25	-115.35
  25.20	 -16.35	-110.85
  31.50	 -12.00	-119.55
  26.85	 -17.55	-119.55
   6.30	 -26.55	-117.90
 -13.50	 -42.60	-110.70
 -31.80	 -52.05	-105.75
 -51.75	 -72.75	 -98.55
 -69.45	 -84.15	-100.35
 -80.40	 -79.20	-104.55
 -84.30	 -85.50	-108.60
 -89.70	 -89.70	-101.85
