g_x g_y g_z m_x m_y m_z  
6.45	-3.65	6.41	-49.05	18.3	35.1	-0.945493	0.202586	0.923077	-0.718499	-0.381703	0.0981964	0.155841	115.569
6.9	-3.5	6.4	-41.1	25.2	36.75	-0.72327	0.400862	0.975962	-0.757612	-0.356049	-0.199186	-0.035526	339.775
7.52	-4.11	7.17	-40.2	23.55	36.9	-0.698113	0.353448	0.980769	-0.73827	-0.376672	-0.184941	0.0320853	340.315
8.13	-4.87	6.09	-38.85	21.9	37.5	-0.660377	0.306034	1	-0.806255	-0.447053	-0.289139	0.156351	303.196
7.83	-4.57	7.01	-36.45	21.3	37.35	-0.593291	0.288793	0.995192	-0.752191	-0.410181	-0.269019	0.13202	307.721
8.28	-3.65	6.55	-33.15	21.3	34.8	-0.501048	0.288793	0.913462	-0.834898	-0.332862	-0.373533	0.0255312	352.18
8.74	-2.58	6.4	-31.65	19.05	34.35	-0.459119	0.224138	0.899038	-0.902474	-0.233812	-0.442677	-0.0097436	357.478
8.74	-2.27	6.86	-31.35	17.4	31.95	-0.450734	0.176724	0.822115	-0.879954	-0.201534	-0.360851	-0.00858216	357.275
7.82	-2.57	7.17	-29.7	15.75	30.3	-0.404612	0.12931	0.769231	-0.798569	-0.237658	-0.275053	0.0554221	337.215
8.43	-0.58	7.47	-28.8	15.45	29.7	-0.379455	0.12069	0.75	-0.84421	-0.0514484	-0.312402	-0.0819606	330.599
11.32	2.94	6.54	-27.45	16.05	29.25	-0.341719	0.137931	0.735577	-1.00616	0.221204	-0.397838	-0.295959	286.708
12.08	4.77	4.86	-30.9	13.5	25.8	-0.438155	0.0646552	0.625	-1.05748	0.35115	-0.276689	-0.275696	270.206
9.17	4.91	2.57	-32.7	6	22.2	-0.48847	-0.150862	0.509615	-1.02718	0.476031	-0.194175	-0.0994443	305.763
5.65	2.92	2.13	-31.65	-2.25	19.5	-0.459119	-0.387931	0.423077	-1.00169	0.450434	-0.215707	0.165049	285.157
3.05	2.76	2.44	-27.9	-12.3	14.7	-0.354298	-0.676724	0.269231	-0.691538	0.615157	-0.116365	0.3973	212.65
5.2	1.09	5.19	-21.15	-17.55	9.9	-0.165618	-0.827586	0.115385	-0.775571	0.147289	-0.0466863	0.801692	186.666
6.89	-1.2	7.78	-13.35	-21	6.6	0.0524109	-0.926724	0.00961538	-0.718974	-0.114961	0.0242828	0.92171	176.982
7.67	-5.02	7.63	-2.7	-17.4	5.7	0.350105	-0.823276	-0.0192308	-0.698533	-0.434442	-0.0340417	0.738703	185.277
2.32	-6.85	10.87	2.7	-15.15	3	0.501048	-0.758621	-0.105769	-0.178643	-0.552314	-0.406349	0.590331	249.082
0.03	-8.37	13.94	7.05	-10.05	7.65	0.622642	-0.612069	0.0432692	-0.00184504	-0.540735	-0.622128	0.547019	277.352
2.78	-7.29	15.91	9	-6.9	7.95	0.677149	-0.521552	0.0528846	-0.157535	-0.423987	-0.642664	0.497128	284.553
-0.59	-6.83	15.93	9.75	-4.2	12	0.698113	-0.443966	0.182692	0.0340271	-0.404795	-0.697944	0.480035	290.961
-1.35	-6.07	14.86	9.45	1.2	14.55	0.689727	-0.288793	0.264423	0.0839046	-0.386358	-0.675894	0.367145	302.979
0.63	-3.02	9.8	6	2.7	19.35	0.593291	-0.24569	0.418269	-0.0613577	-0.298349	-0.612261	0.357783	299.399
4.75	0.04	9.48	2.7	4.95	24.15	0.501048	-0.181034	0.572115	-0.464488	0.00377234	-0.704554	0.178875	331.509
4.89	2.18	8.4	-1.95	8.4	26.4	0.371069	-0.0818966	0.644231	-0.513131	0.220636	-0.640669	-0.0610788	349.108
6.73	2.62	3.8	-6.75	9.9	33	0.236897	-0.0387931	0.855769	-0.969641	0.326838	-0.812637	-0.238005	327.351
7.5	1.24	2.57	-13.65	10.5	33.3	0.0440252	-0.0215517	0.865385	-1.20724	0.155149	-0.817875	-0.112432	344.345
7.96	1.23	1.34	-18.3	10.2	32.7	-0.0859539	-0.0301724	0.846154	-1.34614	0.151215	-0.800762	-0.0976363	346.097
10.86	2.45	-0.81	-22.35	13.5	29.85	-0.199161	0.0646552	0.754808	-1.33751	0.221289	-0.656608	-0.22875	321.585
12.54	4.59	-1.12	-22.05	21.15	28.95	-0.190776	0.284483	0.725962	-1.21048	0.349602	-0.479802	-0.515933	265.844
14.82	8.87	-1.59	-19.65	29.55	25.8	-0.12369	0.525862	0.625	-1.02447	0.536809	-0.16487	-0.77152	204.125
16.49	13.17	0.7	-17.7	35.4	22.65	-0.0691824	0.693966	0.524038	-0.896181	0.673488	0.0613465	-0.86929	171.927
14.18	15.32	1.17	-15.6	37.5	22.2	-0.0104822	0.75431	0.509615	-0.745324	0.822332	0.147352	-0.886732	161.13
13.13	10.57	-0.36	-17.85	36.3	22.2	-0.0733753	0.719828	0.509615	-0.892715	0.677615	0.0882849	-0.880293	168.546
11.6	8.57	-0.66	-22.65	30.3	25.8	-0.207547	0.547414	0.625	-0.933093	0.635518	-0.0194821	-0.811536	182.75
10.85	5.81	-1.11	-29.7	20.25	27	-0.404612	0.258621	0.663462	-1.07167	0.489467	-0.213694	-0.540184	223.167
11.93	2.45	-0.35	-33.9	3.75	22.5	-0.522013	-0.215517	0.519231	-1.36625	0.202464	-0.434421	0.106706	332.399
7.97	-2.6	0.12	-28.5	-12.45	12	-0.371069	-0.681034	0.182692	-1.25514	-0.315305	0.150847	0.704115	155.816
7.22	-5.35	2.12	-16.95	-21.45	1.95	-0.048218	-0.939655	-0.139423	-0.897854	-0.618058	0.544696	0.685035	103.021
