  36.75	 -22.35	  67.95
  36.30	 -22.35	  66.60
  36.75	 -23.85	  66.90
  36.30	 -23.55	  68.40
  38.25	 -21.60	  67.95
  36.90	 -21.75	  68.85
  36.00	 -21.60	  70.20
  36.00	 -20.55	  67.95
  36.30	 -21.60	  68.70
  37.50	 -23.85	  66.60
  37.65	 -21.15	  67.50
  35.85	 -21.15	  67.50
  36.15	 -23.25	  68.85
  37.20	 -21.15	  66.30
  36.75	 -23.55	  67.95
  37.95	 -21.75	  68.85
  36.15	 -21.15	  68.25
  36.90	 -22.20	  66.75
  36.75	 -22.05	  67.95
  36.60	 -22.50	  66.00
  37.20	 -22.20	  67.50
  37.20	 -22.20	  65.55
  37.65	 -21.75	  68.55
  37.50	 -22.80	  67.95
  37.80	 -22.35	  67.20
  37.50	 -23.10	  69.45
  36.60	 -20.70	  67.05
  38.40	 -22.20	  67.05
  37.05	 -22.05	  67.65
  36.90	 -22.95	  68.25
  37.05	 -21.30	  67.95
  36.90	 -21.75	  67.50
  36.60	 -21.75	  68.25
  37.50	 -22.35	  67.95
  37.95	 -22.20	  68.25
  36.00	 -22.80	  68.70
  37.05	 -22.35	  67.20
  37.05	 -21.30	  69.15
  38.70	 -22.50	  67.80
  37.65	 -20.70	  68.25
  36.75	 -23.55	  68.70
  36.75	 -20.55	  68.40
  37.50	 -24.60	  67.65
  36.15	 -23.25	  69.60
  35.40	 -21.15	  70.05
  37.65	 -22.95	  68.25
  39.15	 -22.20	  67.80
  36.75	 -23.10	  67.95
  38.70	 -22.95	  67.80
  36.60	 -22.50	  69.30
  36.15	 -23.25	  69.30
  36.15	 -23.70	  69.30
  37.50	 -22.05	  69.15
  37.95	 -21.15	  68.55
  37.65	 -19.95	  67.80
  36.00	 -22.80	  68.40
  37.80	 -21.60	  67.20
  37.20	 -21.75	  67.05
  36.30	 -23.10	  65.85
  37.20	 -21.75	  67.80
  36.60	 -22.20	  67.05
  36.90	 -22.50	  67.80
  37.65	 -23.25	  66.75
  36.90	 -22.50	  69.30
  36.00	 -21.30	  67.95
  36.30	 -21.60	  67.95
  36.00	 -22.05	  67.95
  37.80	 -22.35	  67.20
  35.85	 -23.25	  67.80
  37.20	 -23.70	  68.25
  38.40	 -22.20	  66.30
  37.05	 -22.05	  69.90
  37.50	 -21.30	  67.65
  38.25	 -22.05	  67.65
  38.40	 -21.75	  67.80
  37.05	 -22.80	  69.45
  37.50	 -21.30	  68.70
  36.90	 -23.25	  67.50
  38.70	 -22.20	  68.55
  34.35	 -22.20	  69.30
  37.50	 -22.80	  68.40
  36.30	 -22.80	  68.70
  36.15	 -21.75	  68.55
  37.20	 -23.25	  68.55
  38.25	 -22.35	  67.20
  38.55	 -22.05	  66.90
  36.30	 -23.10	  68.70
  35.55	 -22.35	  69.15
  37.50	 -23.55	  67.95
  37.50	 -23.55	  68.40
  37.80	 -21.60	  67.20
  36.75	 -21.60	  67.95
  36.60	 -22.50	  68.55
  36.90	 -22.50	  69.60
  37.65	 -21.15	  68.55
  36.60	 -21.45	  67.80
  37.20	 -22.95	  67.80
  37.80	 -22.35	  67.95
  36.90	 -23.25	  67.80
  37.20	 -22.20	  67.80
  37.95	 -21.15	  67.80
  36.30	 -21.60	  67.65
  37.05	 -22.35	  68.70
  36.60	 -22.20	  68.55
  37.20	 -21.15	  68.25
  36.60	 -21.45	  68.25
  36.90	 -24.00	  69.30
  37.50	 -22.05	  66.90
  35.40	 -22.20	  68.55
  37.05	 -23.55	  69.45
  37.95	 -22.50	  66.75
  37.50	 -23.85	  67.20
  37.05	 -22.35	  69.45
  37.20	 -22.95	  69.30
  36.15	 -23.70	  68.25
  37.80	 -22.05	  67.20
  38.70	 -20.70	  68.55
  36.75	 -22.80	  68.70
  37.50	 -23.10	  67.65
  37.20	 -21.75	  68.55
  38.40	 -22.50	  67.80
  38.40	 -22.50	  67.50
  37.05	 -22.35	  68.40
  38.70	 -21.45	  69.30
  37.20	 -22.50	  66.30
  37.65	 -22.50	  67.80
  38.25	 -23.55	  69.15
  37.05	 -21.60	  67.95
  38.55	 -22.35	  67.20
  37.95	 -23.25	  68.25
  37.20	 -21.75	  68.55
  36.75	 -22.35	  69.15
  35.85	 -21.75	  68.85
  37.50	 -22.80	  68.40
  37.20	 -22.20	  68.25
  36.60	 -22.95	  68.25
  37.50	 -20.85	  66.60
  36.75	 -22.05	  67.95
  37.95	 -22.95	  70.80
  36.00	 -23.85	  68.70
  36.60	 -22.50	  69.30
  36.75	 -22.80	  67.65
  36.60	 -22.95	  67.80
  37.65	 -22.50	  67.80
  37.05	 -23.10	  68.40
  36.30	 -22.35	  69.45
  36.75	 -23.55	  68.40
  38.70	 -21.75	  68.25
  37.65	 -22.95	  68.85
  37.80	 -21.60	  68.40
  37.65	 -21.45	  67.50
  36.15	 -23.70	  68.25
  37.05	 -22.05	  67.95
  37.20	 -21.75	  67.05
  35.85	 -21.75	  69.30
  36.30	 -23.10	  67.95
  35.85	 -22.20	  67.05
  36.90	 -21.15	  66.75
  37.20	 -23.70	  69.30
  36.75	 -22.35	  68.70
  37.05	 -22.05	  69.15
  37.20	 -21.75	  67.50
  36.00	 -22.80	  68.70
