Info:TIM: 6663
Info: Gravity RAW data:
x	y	z	
Info:ACC: 8.734106	1.383508	1.258496	
Info:ACC: 8.274134	1.229785	1.256702	
Info:ACC: 8.121008	1.383508	1.716675	
Info:ACC: 8.580981	1.538428	1.871594	
Info:ACC: 8.887232	1.385901	2.025317	
Info:ACC: 8.733508	1.232178	2.024121	
Info:ACC: 8.580383	1.539026	2.177844	
Info:ACC: 9.040955	1.693347	2.486487	
Info:ACC: 9.346606	1.388294	2.639612	
GDB->counter = 1
Info:ACC: 9.346008	1.388892	2.946460	
Info:ACC: 9.652857	1.695740	3.101978	
Info:ACC: 10.419678	1.849463	3.104370	
Info:ACC: 10.572803	1.850061	3.256299	
Info:ACC: 10.265955	1.543213	3.102576	
Info:ACC: 10.264758	1.390088	3.101978	
Info:ACC: 10.264758	1.389490	2.795727	
Info:ACC: 10.111633	1.388294	2.488879	
Info:ACC: 9.805384	1.387695	2.335156	
Info:ACC: 9.652258	1.386499	2.181433	
Info:ACC: 9.499133	1.386499	2.180237	
Info:ACC: 9.345410	1.233374	2.179639	
Info:ACC: 9.192286	1.233374	2.179639	
Info:ACC: 9.192286	1.233972	2.332764	
Info:ACC: 9.039160	1.233972	2.331567	
Info:ACC: 8.732312	0.928320	2.484094	
Info:ACC: 8.884839	0.928320	2.332165	
Info:ACC: 9.191089	0.927722	2.333362	
Info:ACC: 9.344213	0.773999	2.180237	
Info:ACC: 9.343616	0.773999	2.180237	
Info:ACC: 9.344213	0.927124	2.180835	
Info:ACC: 9.497937	1.080847	2.333960	
Info:ACC: 9.344812	1.081445	2.486487	
Info:ACC: 9.191687	1.082043	2.486487	
Info:ACC: 9.344812	1.234570	2.333960	
Info:ACC: 9.498535	1.233972	2.180835	
Info:TIM: 6666
Info: Gravity RAW data:
x	y	z	
GDB->counter = 0
Info:ACC: 9.498535	1.233374	2.333362	
Info:ACC: 9.192286	1.233972	2.332764	
Info:ACC: 9.039160	1.080847	2.179040	
Info:ACC: 9.038562	1.080249	2.179639	
Info:ACC: 9.345410	1.232776	2.027710	
Info:ACC: 9.498535	1.385901	2.027710	
Info:ACC: 9.499133	1.232776	2.027710	
Info:ACC: 9.345410	1.232776	2.026514	
Info:ACC: 9.192286	1.233374	2.180237	
Info:ACC: 9.499133	1.386499	2.181433	
Info:ACC: 9.652258	1.233374	2.180835	
Info:ACC: 9.498535	1.233374	2.333362	
Info:ACC: 9.345410	1.233972	2.180237	
Info:ACC: 9.345410	1.233374	2.180835	
Info:ACC: 9.499133	1.386499	2.333960	
Info:ACC: 9.499133	1.387097	2.333362	
Info:ACC: 9.345410	1.233374	2.179639	
Info:ACC: 9.192286	1.233374	2.179639	
Info:ACC: 9.192286	1.233374	2.027112	
Info:ACC: 9.345410	1.232776	2.027112	
Info:ACC: 9.498535	1.232776	2.027710	
Info:ACC: 9.498535	1.232776	2.027112	
Info:ACC: 9.192286	1.232776	2.026514	
Info:ACC: 9.345410	1.232776	2.027710	
Info:ACC: 9.498535	1.232178	1.874585	
Info:ACC: 9.498535	1.232178	1.873987	
Info:ACC: 9.345410	1.232178	1.873389	
GDB->counter = 1
Info:ACC: 9.192883	1.232178	1.873987	
Info:ACC: 9.346008	1.385303	1.873987	
Info:ACC: 9.346008	1.385303	1.873987	
Info:ACC: 9.346008	1.385303	1.720862	
Info:ACC: 9.499133	1.385303	1.874585	
Info:ACC: 9.499133	1.385303	1.874585	
Info:ACC: 9.499133	1.385303	1.873987	
Info:ACC: 9.346008	1.385303	1.874585	
Info:ACC: 9.499133	1.385303	1.874585	
Info:ACC: 9.499133	1.385303	1.874585	
Info:ACC: 9.499133	1.385303	1.874585	
Info:ACC: 9.499133	1.385303	1.874585	
Info:ACC: 9.346008	1.385303	1.873987	
Info:ACC: 9.346008	1.385901	2.027112	
Info:ACC: 9.346008	1.232776	2.026514	
Info:ACC: 9.192286	1.232776	2.026514	
Info:ACC: 9.192286	1.232776	2.179639	
Info:ACC: 9.192286	1.233374	2.179639	
Info:ACC: 9.192286	1.233374	2.179639	
Info:ACC: 9.345410	1.233374	2.027112	
Info:ACC: 9.498535	1.233374	2.180835	
Info:ACC: 9.498535	1.233374	2.180835	
Info:ACC: 9.344812	1.233374	2.027112	
Info:ACC: 9.498535	1.233374	2.180835	
Info:ACC: 9.498535	1.080249	2.180835	
Info:ACC: 9.497937	1.079651	2.028308	
Info:TIM: 6667
Info: Gravity RAW data:
x	y	z	
GDB->counter = 0
Info:ACC: 9.651660	1.233972	2.487085	
Info:ACC: 9.191687	1.082043	2.791541	
Info:ACC: 8.885437	0.930115	2.944067	
Info:ACC: 9.037964	0.929517	2.639014	
Info:ACC: 9.344812	1.082043	2.486487	
Info:ACC: 9.191687	1.082043	2.791541	
Info:ACC: 8.884839	0.930115	2.944067	
Info:ACC: 8.884241	0.929517	2.639014	
Info:ACC: 9.344213	0.928918	2.333960	
Info:ACC: 9.497339	0.927124	2.180835	
Info:ACC: 9.497339	0.927722	2.486487	
Info:ACC: 9.191089	0.928918	2.792139	
Info:ACC: 9.190491	0.776392	2.792737	
Info:ACC: 9.496740	0.776392	2.640210	
Info:ACC: 9.496740	0.775793	2.640210	
Info:ACC: 9.497339	0.928918	2.639612	
Info:ACC: 9.344213	0.775793	2.639612	
Info:ACC: 9.343616	0.622668	2.639612	
Info:ACC: 9.343018	0.622070	2.486487	
Info:ACC: 9.343616	0.775195	2.486487	
Info:ACC: 9.343616	0.775195	2.486487	
Info:ACC: 9.343616	0.774597	2.333362	
Info:ACC: 9.343616	0.773999	2.180237	
Info:ACC: 9.344213	0.927124	2.486487	
Info:ACC: 9.344213	0.775793	2.639612	
Info:ACC: 9.190491	0.775793	2.639014	
Info:ACC: 9.190491	0.776392	2.639014	
GDB->counter = 1
Info:ACC: 9.190491	0.775793	2.486487	
Info:ACC: 9.496740	0.928320	2.333960	
Info:ACC: 9.496740	0.775195	2.487085	
Info:ACC: 9.496740	0.775195	2.487085	
Info:ACC: 9.496740	0.775195	2.486487	
Info:ACC: 9.343616	0.775195	2.333362	
Info:ACC: 9.496740	0.927722	2.333960	
Info:ACC: 9.344213	0.927124	2.180237	
Info:ACC: 9.343616	0.774597	2.333362	
Info:ACC: 9.343616	0.774597	2.485889	
Info:ACC: 9.343616	0.928320	2.486487	
Info:ACC: 9.344213	0.927722	2.333960	
Info:ACC: 9.497339	0.927722	2.333960	
Info:ACC: 9.497339	0.927124	2.180835	
Info:ACC: 9.497339	0.927124	2.180835	
Info:ACC: 9.496740	0.773999	2.180835	
Info:ACC: 9.496740	0.773999	2.180237	
Info:ACC: 9.343616	0.773999	2.180835	
Info:ACC: 9.496740	0.773999	2.180835	
Info:ACC: 9.496740	0.773401	2.027710	
Info:ACC: 9.649866	0.772803	1.875183	
Info:ACC: 9.649866	0.772803	1.875183	
Info:ACC: 9.649866	0.773401	2.027710	
Info:ACC: 9.649866	0.773999	2.028906	
Info:ACC: 9.956116	0.773401	2.030102	
Info:ACC: 10.262964	0.926526	2.031299	
info: :set_lcd_on:6675440:294: set lcd?
info: :set_lcd_on:6675440:297: set lcd on
info: :ILI9163C_CommInit:6675595:820: ILI9163C_CommInit ok
info: :tp_exit_sleep:6675625:185: tp_exit_sleep
info: :get_service_queue:6675625:133: get sema for service queue
info: :show_step:6675737:351: show_step 410.
Info:TIM: 6668
Info: Gravity RAW data:
x	y	z	
GDB->counter = 0
Info:ACC: 10.415491	0.773999	2.337549	
Info:ACC: 10.415491	0.775195	2.948853	
Info:ACC: 9.649267	0.472534	3.864014	
Info:ACC: 8.576795	0.322400	4.471728	
Info:ACC: 7.503723	0.019141	5.233765	
Info:ACC: 6.737500	-0.130994	6.150122	
Info:ACC: 6.277527	0.025122	6.912158	
Info:ACC: 4.900598	0.334961	7.826721	
Info:ACC: 3.829919	0.491675	8.740686	
Info:ACC: 2.758044	0.494666	9.197668	
Info:ACC: 2.605518	0.648389	9.045141	
Info:ACC: 2.759241	0.954041	9.198267	
Info:ACC: 2.607312	1.260889	9.503321	
Info:ACC: 2.149133	1.568933	9.807775	
Info:ACC: 2.149731	1.417004	9.809570	
Info:ACC: 2.914160	1.110156	9.507507	
Info:ACC: 3.985437	1.107764	8.746069	
Info:ACC: 5.211035	1.256702	7.678381	
Info:ACC: 5.977258	1.406238	6.914551	
Info:ACC: 6.283508	1.249524	5.691943	
Info:ACC: 7.354187	1.091614	4.471130	
Info:ACC: 8.271741	0.627454	3.249719	
Info:ACC: 9.341822	0.163293	2.335156	
Info:ACC: 10.107447	0.467749	2.336353	
Info:ACC: 10.108045	0.315222	2.336353	
Info:ACC: 10.106848	0.160901	1.723853	
Info:ACC: 10.106848	0.311035	0.804504	
GDB->counter = 1
Info:ACC: 10.413696	0.611902	-0.570630	
Info:ACC: 10.721741	1.069482	-0.570630	
Info:ACC: 10.569214	1.070081	-0.418701	
Info:ACC: 10.263562	1.070081	-0.573022	
Info:ACC: 9.803589	0.915759	-0.728540	
Info:ACC: 9.343616	0.915759	-0.729736	
Info:ACC: 9.190491	1.069482	-0.424084	
Info:ACC: 9.038562	1.224402	0.035291	
Info:ACC: 9.038562	1.072473	0.342139	
Info:ACC: 9.191687	1.073071	0.189612	
Info:ACC: 9.497937	1.071875	-0.116040	
Info:ACC: 9.498535	1.377527	-0.116040	
Info:ACC: 9.499133	1.378125	0.037085	
Info:ACC: 9.499133	1.378723	0.190210	
Info:ACC: 9.651660	1.226196	0.343933	
Info:ACC: 9.651660	1.226196	0.191406	
Info:ACC: 9.804785	1.225598	0.191406	
Info:ACC: 9.804785	1.225598	0.191406	
Info:ACC: 9.804785	1.378723	0.191406	
Info:ACC: 9.805384	1.379321	0.497058	
Info:ACC: 9.651660	1.226794	0.343933	
Info:ACC: 9.498535	1.225598	0.037085	
Info:ACC: 9.651660	1.225000	0.037683	
Info:ACC: 9.804785	1.378125	0.191406	
Info:ACC: 9.805384	1.378723	0.191406	
Info:ACC: 9.652258	1.379321	0.343335	
Info:TIM: 6669
Info: Gravity RAW data:
x	y	z	
GDB->counter = 0
Info:ACC: 9.344812	1.073071	0.189612	
Info:ACC: 9.497937	1.225598	0.190210	
Info:ACC: 9.498535	1.225598	0.190210	
Info:ACC: 9.498535	1.226196	0.343335	
Info:ACC: 9.345410	1.226794	0.495862	
Info:ACC: 9.345410	1.226196	0.342737	
Info:ACC: 9.498535	1.226196	0.343335	
Info:ACC: 9.498535	1.379321	0.497058	
Info:ACC: 9.651660	1.226794	0.343933	
Info:ACC: 9.498535	1.226794	0.496460	
Info:ACC: 9.498535	1.226794	0.496460	
Info:ACC: 9.498535	1.226794	0.496460	
Info:ACC: 9.498535	1.226794	0.497058	
Info:ACC: 9.651660	1.226794	0.497058	
Info:ACC: 9.651660	1.227393	0.497058	
Info:ACC: 9.498535	1.226794	0.497058	
Info:ACC: 9.651660	1.226794	0.497058	
Info:ACC: 9.498535	1.226794	0.496460	
Info:ACC: 9.498535	1.227393	0.496460	
Info:ACC: 9.498535	1.226794	0.649585	
Info:ACC: 9.498535	1.380518	0.650183	
Info:ACC: 9.652258	1.227393	0.650183	
Info:ACC: 9.651660	1.227393	0.649585	
Info:ACC: 9.498535	1.226794	0.496460	
Info:ACC: 9.498535	1.226794	0.496460	
Info:ACC: 9.651660	1.379919	0.650183	
Info:ACC: 9.651660	1.227393	0.650183	
GDB->counter = 1
Info:ACC: 9.498535	1.227393	0.649585	
Info:ACC: 9.498535	1.380518	0.496460	
Info:ACC: 9.499133	1.379919	0.496460	
Info:ACC: 9.499133	1.226794	0.650183	
Info:ACC: 9.651660	1.227393	0.497058	
Info:ACC: 9.498535	1.226794	0.496460	
Info:ACC: 9.498535	1.227393	0.496460	
Info:ACC: 9.498535	1.226794	0.496460	
Info:ACC: 9.651660	1.226794	0.497058	
Info:ACC: 9.651660	1.226794	0.496460	
Info:ACC: 9.498535	1.226794	0.496460	
Info:ACC: 9.498535	1.226794	0.496460	
Info:ACC: 9.651660	1.227393	0.650183	
Info:ACC: 9.651660	1.380518	0.650183	
Info:ACC: 9.652258	1.227393	0.649585	
Info:ACC: 9.498535	1.227393	0.497058	
Info:ACC: 9.652258	1.379919	0.650183	
Info:ACC: 9.652258	1.380518	0.650183	
Info:ACC: 9.499133	1.380518	0.649585	
Info:ACC: 9.499133	1.379919	0.497058	
Info:ACC: 9.652258	1.533643	0.650183	
Info:ACC: 9.652857	1.381116	0.803308	
Info:ACC: 9.652857	1.534241	0.650781	
Info:ACC: 9.806580	1.687366	0.803906	
Info:ACC: 9.654053	1.840491	0.803308	
Info:ACC: 9.501526	1.994214	0.955835	
Info:TIM: 6670
Info: Gravity RAW data:
x	y	z	
GDB->counter = 0
Info:ACC: 9.195276	1.841089	0.801514	
Info:ACC: 9.041553	1.840491	0.800916	
Info:ACC: 8.888428	1.840491	0.800916	
Info:ACC: 9.041553	1.840491	0.801514	
Info:ACC: 9.347204	1.687366	0.802112	
Info:ACC: 9.347204	1.687366	0.802710	
Info:ACC: 9.500330	1.687366	0.802710	
Info:ACC: 9.500330	1.687366	0.802710	
Info:ACC: 9.499731	1.534241	0.802112	
Info:ACC: 9.039759	1.381116	0.800317	
Info:ACC: 8.733508	1.381116	0.799121	
Info:ACC: 8.580383	1.227393	0.493469	
Info:ACC: 9.039160	1.073071	0.342139	
Info:ACC: 9.344812	0.919946	0.342737	
Info:ACC: 9.191089	0.920544	0.495264	
Info:ACC: 9.037366	0.767419	0.342139	
Info:ACC: 9.343018	0.613098	0.190808	
Info:ACC: 9.803589	1.073071	0.498254	
Info:ACC: 9.958508	1.380518	0.804504	
Info:ACC: 9.958508	1.381116	0.804504	
Info:ACC: 9.958508	1.074268	0.498254	
Info:ACC: 9.803589	0.613696	0.343933	
Info:ACC: 9.495544	0.460571	0.495862	
Info:ACC: 9.188696	0.308044	0.495264	
Info:ACC: 9.341822	0.460571	0.343335	
Info:ACC: 9.648669	0.613098	0.191406	
Info:ACC: 9.802991	0.919348	0.344531	
GDB->counter = 1
Info:ACC: 9.958508	1.533643	0.498853	
Info:ACC: 10.111035	0.766223	-0.114246	
Info:ACC: 9.802393	0.764429	-0.267969	
Info:ACC: 9.956116	1.070081	-0.420496	
Info:ACC: 9.803589	0.916956	-0.268567	
Info:ACC: 9.496740	0.764429	-0.269165	
Info:ACC: 9.495544	0.458179	-0.268567	
Info:ACC: 9.648669	0.611304	-0.268567	
Info:ACC: 9.649267	0.918152	0.037683	
Info:ACC: 9.650464	0.918750	0.190808	
Info:ACC: 9.649866	0.766223	0.190808	
Info:ACC: 9.649267	0.612500	0.037683	
Info:ACC: 9.802393	0.613098	0.191406	
Info:ACC: 9.802393	0.766223	0.344531	
Info:ACC: 9.802991	0.766821	0.344531	
Info:ACC: 9.802991	0.766223	0.190808	
Info:ACC: 9.649866	0.918750	0.037085	
Info:ACC: 9.497339	1.224402	-0.116040	
Info:ACC: 9.651062	1.224402	-0.115442	
Info:ACC: 9.651062	1.224402	0.037085	
Info:ACC: 9.344213	0.612500	0.189612	
Info:ACC: 9.342420	0.459973	0.189612	
Info:ACC: 9.341822	0.306250	0.037085	
Info:ACC: 9.648071	0.459375	-0.115442	
Info:ACC: 9.648669	0.459375	0.037683	
Info:ACC: 9.495544	0.459973	0.343335	
Info:TIM: 6671
Info: Gravity RAW data:
x	y	z	
GDB->counter = 0
Info:ACC: 9.188696	0.307446	0.342737	
Info:ACC: 9.341822	0.307446	0.343335	
Info:ACC: 9.648071	0.307446	0.343933	
Info:ACC: 9.648071	0.307446	0.343933	
Info:ACC: 9.647473	0.154321	0.497058	
Info:ACC: 9.647473	0.154919	0.497058	
Info:ACC: 9.647473	0.154919	0.497058	
Info:ACC: 9.647473	0.154919	0.497058	
Info:ACC: 9.648071	0.308044	0.650781	
Info:ACC: 9.801196	0.308643	0.650781	
Info:ACC: 9.648071	0.308643	0.803308	
Info:ACC: 9.648071	0.309241	0.803308	
Info:ACC: 9.648669	0.462366	0.803308	
Info:ACC: 9.648669	0.462366	0.803308	
Info:ACC: 9.648669	0.461768	0.650183	
Info:ACC: 9.495544	0.461768	0.649585	
Info:ACC: 9.495544	0.461768	0.649585	
Info:ACC: 9.494946	0.308643	0.649585	
Info:ACC: 9.494946	0.308643	0.649585	
Info:ACC: 9.494946	0.308044	0.496460	
Info:ACC: 9.494946	0.308044	0.343933	
Info:ACC: 9.648071	0.308044	0.497058	
Info:ACC: 9.648071	0.308044	0.650183	
Info:ACC: 9.648071	0.308643	0.650183	
Info:ACC: 9.648071	0.308643	0.650183	
Info:ACC: 9.648071	0.308044	0.497058	
Info:ACC: 9.648071	0.308643	0.650183	
GDB->counter = 1
Info:ACC: 9.648071	0.308643	0.803308	
Info:ACC: 9.648071	0.156116	0.803308	
Info:ACC: 9.647473	0.002991	0.650183	
Info:ACC: 9.647473	0.155518	0.649585	
Info:ACC: 9.494349	0.308643	0.649585	
Info:ACC: 9.494946	0.154919	0.496460	
Info:ACC: 9.647473	0.155518	0.650183	
Info:ACC: 9.647473	0.002991	0.803308	
Info:ACC: 9.646875	0.002991	0.803308	
Info:ACC: 9.646875	0.002991	0.649585	
Info:ACC: 9.493750	0.155518	0.649585	
Info:ACC: 9.494349	0.155518	0.650183	
Info:ACC: 9.646875	0.002393	0.650183	
Info:ACC: 9.646875	0.002991	0.803308	
Info:ACC: 9.494349	0.156116	0.802710	
Info:ACC: 9.341223	0.156714	0.802710	
Info:ACC: 9.494349	0.156116	0.802710	
Info:ACC: 9.494946	0.156116	0.802710	
Info:ACC: 9.494349	0.156116	0.649585	
Info:ACC: 9.494946	0.308643	0.649585	
Info:ACC: 9.648669	0.461768	0.803308	
Info:ACC: 9.648669	0.462964	0.956433	
Info:ACC: 9.648071	0.309839	0.956433	
Info:ACC: 9.648071	0.309839	0.802710	
Info:ACC: 9.494946	0.309241	0.803308	
Info:ACC: 9.648071	0.309241	0.803308	
Info:TIM: 6672
Info: Gravity RAW data:
x	y	z	
GDB->counter = 0
Info:ACC: 9.648071	0.309839	0.956433	
Info:ACC: 9.647473	0.156714	0.803308	
Info:ACC: 9.648071	0.156714	0.956433	
Info:ACC: 9.647473	0.156714	0.956433	
Info:ACC: 9.647473	0.156714	0.956433	
Info:ACC: 9.647473	0.156714	0.955835	
Info:ACC: 9.494349	0.156714	0.955835	
Info:ACC: 9.647473	0.309839	0.956433	
Info:ACC: 9.648071	0.156714	0.956433	
Info:ACC: 9.494349	0.157312	1.108960	
Info:ACC: 9.494349	0.156714	0.955835	
Info:ACC: 9.494349	0.156714	0.955835	
Info:ACC: 9.494349	0.156714	0.955835	
Info:ACC: 9.494349	0.156714	0.955835	
Info:ACC: 9.493750	0.003589	0.955835	
Info:ACC: 9.493750	0.003589	0.955835	
Info:ACC: 9.646875	0.002991	0.803308	
Info:ACC: 9.646875	0.002991	0.803906	
Info:ACC: 9.800598	0.003589	0.956433	
Info:ACC: 9.800000	0.003589	0.957031	
Info:ACC: 9.800000	0.003589	0.957031	
Info:ACC: 9.800598	0.157312	1.110156	
Info:ACC: 9.800598	0.157312	0.957031	
Info:ACC: 9.800598	0.156714	0.957031	
Info:ACC: 9.800598	0.004187	1.109558	
Info:ACC: 9.646875	0.003589	1.109558	
Info:ACC: 9.646875	0.004187	1.108960	
GDB->counter = 1
Info:ACC: 9.647473	0.157312	1.109558	
Info:ACC: 9.647473	0.004187	1.262085	
Info:ACC: 9.493750	0.004785	1.108960	
Info:ACC: 9.493750	0.004187	1.108960	
Info:ACC: 9.493750	0.004187	1.108960	
Info:ACC: 9.493750	0.004187	1.108960	
Info:ACC: 9.646875	0.157312	1.109558	
Info:ACC: 9.647473	0.157312	1.109558	
Info:ACC: 9.493750	0.004187	1.108960	
Info:ACC: 9.493750	0.004187	1.108960	
Info:ACC: 9.494349	0.157312	1.108960	
Info:ACC: 9.647473	0.157312	1.109558	
Info:ACC: 9.647473	0.157312	1.109558	
Info:ACC: 9.647473	0.157312	1.109558	
Info:ACC: 9.494349	0.157312	1.108960	
Info:ACC: 9.494349	0.157312	1.108960	
Info:ACC: 9.647473	0.157312	1.109558	
Info:ACC: 9.648071	0.311035	1.262683	
Info:ACC: 9.647473	0.157312	1.109558	
Info:ACC: 9.647473	0.157312	1.108960	
Info:ACC: 9.493750	0.004187	1.108960	
Info:ACC: 9.493750	0.004785	1.262085	
Info:ACC: 9.493750	0.004785	1.262085	
Info:ACC: 9.493750	0.004785	1.109558	
Info:ACC: 9.646875	0.004785	1.262683	
Info:ACC: 9.647473	0.157910	1.262683	
